rule,precision,recall,rule_coverage,Target,Sample size
"age<=31 & coach!=""my head""",0.4945652173913043,0.4168848167539267,0.3864,0.4584,10000
"gender==""f""",0.4939759036144578,0.8541666666666666,0.83,0.48,100
stag<=33.41273101 & selfcontrol<=4.9,0.4939260077305356,0.3902705061082024,0.3622,0.4584,10000
"industry!=""IT""",0.4923792902850494,0.9232111692844676,0.8595,0.4584,10000
anxiety<=5.6,0.492063492063492,0.6458333333333334,0.63,0.48,100
selfcontrol>5.7,0.492063492063492,0.389937106918239,0.378,0.477,1000
"traffic!=""youjs""",0.4919941775836972,0.7085953878406709,0.687,0.477,1000
novator>6.0,0.4919908466819222,0.450733752620545,0.437,0.477,1000
stag<=48.45995893,0.4918032786885246,0.8805031446540881,0.854,0.477,1000
extraversion>5.4,0.4909090909090909,0.5094339622641509,0.495,0.477,1000
age>30,0.4907975460122699,0.5031446540880503,0.489,0.477,1000
selfcontrol<=6.4 & novator>6.0,0.4900953778429934,0.4371727748691099,0.4089,0.4584,10000
stag<=33.41273101 & selfcontrol<=6.4,0.4900529293666728,0.5857329842931938,0.5479,0.4584,10000
selfcontrol<=6.4 & stag<=33.41273101,0.4900529293666728,0.5857329842931938,0.5479,0.4584,10000
stag<=33.41273101 & extraversion>5.4,0.4897905064969504,0.4029232111692845,0.3771,0.4584,10000
novator>6.0,0.4895300139599814,0.4589877835951134,0.4298,0.4584,10000
"stag<=33.41273101 & coach!=""my head""",0.4895220588235294,0.580933682373473,0.544,0.4584,10000
stag<=33.41273101 & age<=31,0.4894415767245424,0.4550610820244328,0.4262,0.4584,10000
"coach!=""my head""",0.4893333333333333,0.7693920335429769,0.75,0.477,1000
"coach!=""my head"" & selfcontrol<=4.9",0.4891706286318014,0.4040139616055846,0.3786,0.4584,10000
"traffic!=""friends""",0.488962472406181,0.9287211740041929,0.906,0.477,1000
"profession!=""IT""",0.4889123548046462,0.9706498951781972,0.947,0.477,1000
"coach!=""my head"" & extraversion>5.4",0.4873231918868428,0.3983420593368237,0.3747,0.4584,10000
anxiety<=4.0,0.4871582435791218,0.256544502617801,0.2414,0.4584,10000
"selfcontrol<=6.4 & coach!=""my head""",0.4860195903829029,0.5953315881326352,0.5615,0.4584,10000
"traffic!=""youjs""",0.4845971563981042,0.7137870855148342,0.6752,0.4584,10000
selfcontrol<=6.4 & age<=31,0.4823903658259486,0.4631326352530541,0.4401,0.4584,10000
age<=31 & extraversion>5.4,0.4801948051948052,0.3226439790575916,0.308,0.4584,10000
stag<=33.41273101,0.4768384879725086,0.756762652705061,0.7275,0.4584,10000
extraversion>5.4 & selfcontrol<=4.9,0.476107732406603,0.3586387434554974,0.3453,0.4584,10000
selfcontrol<=6.4 & extraversion>5.4,0.4757470766565613,0.4792757417102967,0.4618,0.4584,10000
selfcontrol<=4.9,0.4754232102794207,0.5085078534031413,0.4903,0.4584,10000
"coach!=""my head""",0.4752805986103688,0.7759598603839442,0.7484,0.4584,10000
extraversion>5.4,0.4712804148384523,0.5154886561954625,0.5014,0.4584,10000
age<=31,0.4699548454324418,0.5903141361256544,0.5758,0.4584,10000
selfcontrol<=6.4,0.4698682985233471,0.7705061082024433,0.7517,0.4584,10000
"profession!=""IT""",0.4691397167617839,0.9683682373472948,0.9462,0.4584,10000
