rule,precision,recall,rule_coverage,Target,Sample size
estimated_salary>130805.54 & balance>104488.17,0.3310344827586207,0.233009708737864,0.145,0.206,1000
"active_member==""No"" & estimated_salary>160979.66",0.3302151543498597,0.172027290448343,0.1069,0.2052,10000
balance>101438.0 & credit_score<=606,0.328998699609883,0.1232943469785575,0.0769,0.2052,10000
"gender==""Female"" & customer_id<=15617476",0.3277404921700224,0.1427875243664717,0.0894,0.2052,10000
"customer_id>15708714 & active_member==""No""",0.3257918552036199,0.3495145631067961,0.221,0.206,1000
"gender==""Female"" & customer_id>15766183",0.3253012048192771,0.1310679611650485,0.083,0.206,1000
"customer_id>15766183 & gender==""Female""",0.3253012048192771,0.1310679611650485,0.083,0.206,1000
"active_member==""No"" & tenure<=3",0.3248670998227997,0.2680311890838207,0.1693,0.2052,10000
"credit_score<=606 & active_member==""No""",0.3235294117647059,0.2144249512670565,0.136,0.2052,10000
"estimated_salary>130805.54 & active_member==""No""",0.3215859030837004,0.3543689320388349,0.227,0.206,1000
"tenure<=5 & active_member==""No""",0.3187365398420674,0.4327485380116959,0.2786,0.2052,10000
"gender==""Female"" & customer_id<=15667633",0.318429003021148,0.25682261208577,0.1655,0.2052,10000
"balance<=126550.7 & customer_id>15750874 & active_member==""No""",0.3181818181818182,0.4117647058823529,0.22,0.17,100
"active_member==""No"" & customer_id<=15667633",0.3175641670860594,0.307504873294347,0.1987,0.2052,10000
balance>101438.0 & customer_id<=15667633,0.3136929460580913,0.1842105263157894,0.1205,0.2052,10000
"active_member==""No"" & estimated_salary>129525.5",0.3132197144173192,0.3313840155945419,0.2171,0.2052,10000
balance>101438.0 & tenure<=5,0.3125367863449088,0.2587719298245614,0.1699,0.2052,10000
tenure<=4 & customer_id>15750874,0.3125,0.2941176470588235,0.16,0.17,100
"gender==""Female"" & estimated_salary>130805.54",0.3121387283236994,0.2621359223300971,0.173,0.206,1000
"gender==""Female"" & credit_score<=606",0.3088768115942029,0.1661793372319688,0.1104,0.2052,10000
"active_member==""No"" & estimated_salary>97906.38",0.3069908814589666,0.4902912621359223,0.329,0.206,1000
"gender==""Female"" & estimated_salary>160979.66",0.3062770562770562,0.1379142300194931,0.0924,0.2052,10000
customer_id>15708714 & balance>104488.17,0.3046875,0.1893203883495145,0.128,0.206,1000
"gender==""Female"" & tenure<=6",0.3043478260869565,0.4117647058823529,0.23,0.17,100
tenure<=6 & customer_id>15750874,0.3043478260869565,0.4117647058823529,0.23,0.17,100
estimated_salary<=123825.83 & credit_score>690,0.3,0.5294117647058824,0.3,0.17,100
estimated_salary>68985.99 & estimated_salary<=95611.74,0.3,0.3529411764705882,0.2,0.17,100
estimated_salary<=95611.74 & credit_score>690,0.3,0.3529411764705882,0.2,0.17,100
"credit_card==""No"" & balance>104488.17",0.3,0.1019417475728155,0.07,0.206,1000
"gender==""Female"" & estimated_salary>129525.5",0.2988752008569898,0.2719298245614035,0.1867,0.2052,10000
"active_member==""No""",0.2978723404255319,0.7300194931773879,0.5029,0.2052,10000
"gender==""Female"" & tenure<=5",0.2961391599490878,0.3401559454191033,0.2357,0.2052,10000
balance>104488.17,0.2958199356913183,0.4466019417475728,0.311,0.206,1000
"tenure<=6 & country!=""Spain""",0.2941176470588235,0.5882352941176471,0.34,0.17,100
tenure<=4 & credit_score>690,0.2941176470588235,0.2941176470588235,0.17,0.17,100
balance>101438.0 & estimated_salary>129525.5,0.2939460247994165,0.1963937621832358,0.1371,0.2052,10000
tenure<=1,0.2928571428571428,0.1990291262135922,0.14,0.206,1000
"gender==""Female"" & estimated_salary<=123825.83",0.2916666666666667,0.4117647058823529,0.24,0.17,100
"customer_id>15750874 & active_member==""No""",0.2916666666666667,0.4117647058823529,0.24,0.17,100
"gender==""Female"" & estimated_salary>97906.38",0.2873563218390804,0.3640776699029126,0.261,0.206,1000
"country!=""France""",0.286783042394015,0.558252427184466,0.401,0.206,1000
balance>101438.0,0.2866578599735799,0.4230019493177387,0.3028,0.2052,10000
"estimated_salary<=123825.83 & active_member==""No""",0.2857142857142857,0.4705882352941176,0.28,0.17,100
"active_member==""No""",0.2843691148775895,0.7330097087378641,0.531,0.206,1000
"gender==""Female""",0.2842928216062544,0.5847953216374269,0.4221,0.2052,10000
"gender==""Female"" & customer_id>15708714",0.281437125748503,0.2281553398058252,0.167,0.206,1000
customer_id>15750874 & credit_score>690,0.2777777777777778,0.2941176470588235,0.18,0.17,100
"country!=""France""",0.27462758289284,0.5570175438596491,0.4162,0.2052,10000
"gender==""Female""",0.2738386308068459,0.5436893203883495,0.409,0.206,1000
"country!=""Spain"" & active_member==""No""",0.2702702702702703,0.5882352941176471,0.37,0.17,100
"gender==""Female"" & active_member==""No""",0.2692307692307692,0.4117647058823529,0.26,0.17,100
"credit_card==""Yes"" & customer_id>15750874",0.2666666666666666,0.4705882352941176,0.3,0.17,100
customer_id>15692991 & tenure<=6,0.2647058823529412,0.5294117647058824,0.34,0.17,100
customer_id>15766183 & estimated_salary>97906.38,0.2635658914728682,0.1650485436893204,0.129,0.206,1000
"credit_card==""Yes"" & tenure<=6",0.2608695652173913,0.7058823529411765,0.46,0.17,100
credit_score<=606 & estimated_salary>129525.5,0.2598566308243727,0.1413255360623781,0.1116,0.2052,10000
"gender==""Female"" & country!=""Spain""",0.2592592592592592,0.4117647058823529,0.27,0.17,100
"credit_card==""No"" & customer_id>15708714",0.2584269662921348,0.1116504854368932,0.089,0.206,1000
"credit_card==""Yes"" & country!=""Spain""",0.25,0.7647058823529411,0.52,0.17,100
estimated_salary>68985.99 & estimated_salary<=123825.83,0.25,0.5882352941176471,0.4,0.17,100
"credit_card==""Yes"" & credit_score>690",0.25,0.5882352941176471,0.4,0.17,100
"gender==""Female"" & credit_card==""Yes""",0.25,0.5294117647058824,0.36,0.17,100
"country!=""Spain"" & customer_id>15750874",0.25,0.3529411764705882,0.24,0.17,100
"credit_card==""No"" & estimated_salary>130805.54",0.25,0.1019417475728155,0.084,0.206,1000
tenure<=5 & customer_id<=15617476,0.2486437613019891,0.1340155945419103,0.1106,0.2052,10000
customer_id>15766183,0.2463054187192118,0.2427184466019417,0.203,0.206,1000
balance<=126550.7 & tenure<=6,0.2448979591836734,0.7058823529411765,0.49,0.17,100
"customer_id>15692991 & credit_card==""Yes""",0.2444444444444444,0.6470588235294118,0.45,0.17,100
"credit_card==""Yes"" & active_member==""No""",0.2444444444444444,0.6470588235294118,0.45,0.17,100
estimated_salary>129525.5 & customer_id<=15617476,0.2444196428571428,0.1067251461988304,0.0896,0.2052,10000
