rule,precision,recall,rule_coverage,Target,Sample size
"country==""Germany""",0.3571428571428571,0.2941176470588235,0.14,0.17,100
tenure<=6 & estimated_salary<=95611.74,0.3478260869565217,0.4705882352941176,0.23,0.17,100
"gender==""Female"" & country!=""Spain"" & active_member==""No""",0.3333333333333333,0.3529411764705882,0.18,0.17,100
"gender==""Female"" & customer_id>15692991 & active_member==""No""",0.3333333333333333,0.2941176470588235,0.15,0.17,100
"balance<=126550.7 & customer_id>15750874 & active_member==""No""",0.3181818181818182,0.4117647058823529,0.22,0.17,100
tenure<=4 & customer_id>15750874,0.3125,0.2941176470588235,0.16,0.17,100
"gender==""Female"" & tenure<=6",0.3043478260869565,0.4117647058823529,0.23,0.17,100
tenure<=6 & customer_id>15750874,0.3043478260869565,0.4117647058823529,0.23,0.17,100
estimated_salary<=123825.83 & credit_score>690,0.3,0.5294117647058824,0.3,0.17,100
estimated_salary>68985.99 & estimated_salary<=95611.74,0.3,0.3529411764705882,0.2,0.17,100
estimated_salary<=95611.74 & credit_score>690,0.3,0.3529411764705882,0.2,0.17,100
"tenure<=6 & country!=""Spain""",0.2941176470588235,0.5882352941176471,0.34,0.17,100
tenure<=4 & credit_score>690,0.2941176470588235,0.2941176470588235,0.17,0.17,100
"gender==""Female"" & estimated_salary<=123825.83",0.2916666666666667,0.4117647058823529,0.24,0.17,100
"customer_id>15750874 & active_member==""No""",0.2916666666666667,0.4117647058823529,0.24,0.17,100
"estimated_salary<=123825.83 & active_member==""No""",0.2857142857142857,0.4705882352941176,0.28,0.17,100
customer_id>15750874 & credit_score>690,0.2777777777777778,0.2941176470588235,0.18,0.17,100
"country!=""Spain"" & active_member==""No""",0.2702702702702703,0.5882352941176471,0.37,0.17,100
"gender==""Female"" & active_member==""No""",0.2692307692307692,0.4117647058823529,0.26,0.17,100
"credit_card==""Yes"" & customer_id>15750874",0.2666666666666666,0.4705882352941176,0.3,0.17,100
customer_id>15692991 & tenure<=6,0.2647058823529412,0.5294117647058824,0.34,0.17,100
"credit_card==""Yes"" & tenure<=6",0.2608695652173913,0.7058823529411765,0.46,0.17,100
"gender==""Female"" & country!=""Spain""",0.2592592592592592,0.4117647058823529,0.27,0.17,100
"credit_card==""Yes"" & country!=""Spain""",0.25,0.7647058823529411,0.52,0.17,100
estimated_salary>68985.99 & estimated_salary<=123825.83,0.25,0.5882352941176471,0.4,0.17,100
"credit_card==""Yes"" & credit_score>690",0.25,0.5882352941176471,0.4,0.17,100
"gender==""Female"" & credit_card==""Yes""",0.25,0.5294117647058824,0.36,0.17,100
"country!=""Spain"" & customer_id>15750874",0.25,0.3529411764705882,0.24,0.17,100
balance<=126550.7 & tenure<=6,0.2448979591836734,0.7058823529411765,0.49,0.17,100
"customer_id>15692991 & credit_card==""Yes""",0.2444444444444444,0.6470588235294118,0.45,0.17,100
"credit_card==""Yes"" & active_member==""No""",0.2444444444444444,0.6470588235294118,0.45,0.17,100
"gender==""Female"" & balance<=126550.7",0.2432432432432432,0.5294117647058824,0.37,0.17,100
"gender==""Female"" & credit_score>645",0.2413793103448276,0.4117647058823529,0.29,0.17,100
"active_member==""No"" & credit_score>690",0.2413793103448276,0.4117647058823529,0.29,0.17,100
tenure<=6 & credit_score>690,0.2413793103448276,0.4117647058823529,0.29,0.17,100
"active_member==""No"" & credit_score>645",0.2368421052631578,0.5294117647058824,0.38,0.17,100
"estimated_salary<=123825.83 & credit_card==""Yes""",0.2352941176470588,0.7058823529411765,0.51,0.17,100
"tenure<=6 & active_member==""No""",0.2352941176470588,0.4705882352941176,0.34,0.17,100
age>34,0.2333333333333333,0.8235294117647058,0.6,0.17,100
"country!=""Spain"" & credit_score>690",0.2333333333333333,0.4117647058823529,0.3,0.17,100
"balance<=126550.7 & country!=""Spain""",0.2321428571428571,0.7647058823529411,0.56,0.17,100
"balance<=126550.7 & active_member==""No""",0.2307692307692307,0.7058823529411765,0.52,0.17,100
"customer_id>15692991 & country!=""Spain""",0.2307692307692307,0.5294117647058824,0.39,0.17,100
tenure<=2,0.2307692307692307,0.1764705882352941,0.13,0.17,100
"customer_id>15692991 & active_member==""No""",0.2285714285714285,0.4705882352941176,0.35,0.17,100
balance<=126550.7 & customer_id>15750874,0.2285714285714285,0.4705882352941176,0.35,0.17,100
tenure<=6 & credit_score>645,0.225,0.5294117647058824,0.4,0.17,100
customer_id>15692991 & credit_score>690,0.2222222222222222,0.3529411764705882,0.27,0.17,100
balance<=126550.7 & credit_score>690,0.2195121951219512,0.5294117647058824,0.41,0.17,100
"estimated_salary>68985.99 & credit_card==""Yes""",0.21875,0.8235294117647058,0.64,0.17,100
tenure<=4,0.21875,0.4117647058823529,0.32,0.17,100
tenure<=6,0.2181818181818181,0.7058823529411765,0.55,0.17,100
"credit_card==""Yes"" & credit_score>645",0.2181818181818181,0.7058823529411765,0.55,0.17,100
credit_score>690,0.217391304347826,0.5882352941176471,0.46,0.17,100
"country!=""Spain""",0.2153846153846154,0.8235294117647058,0.65,0.17,100
"balance<=126550.7 & credit_card==""Yes""",0.2142857142857142,0.8823529411764706,0.7,0.17,100
"active_member==""No""",0.2142857142857142,0.7058823529411765,0.56,0.17,100
"gender==""Female""",0.2093023255813953,0.5294117647058824,0.43,0.17,100
"credit_card==""Yes""",0.2025316455696202,0.9411764705882352,0.79,0.17,100
estimated_salary<=123825.83,0.2,0.7058823529411765,0.6,0.17,100
customer_id>15750874,0.2,0.4705882352941176,0.4,0.17,100
balance<=126550.7 & customer_id>15692991,0.1886792452830188,0.5882352941176471,0.53,0.17,100
estimated_salary>68985.99,0.1875,0.8823529411764706,0.8,0.17,100
balance<=126550.7 & credit_score>645,0.1864406779661017,0.6470588235294118,0.59,0.17,100
customer_id>15692991,0.1833333333333333,0.6470588235294118,0.6,0.17,100
age>28,0.1818181818181818,0.9411764705882352,0.88,0.17,100
balance<=126550.7,0.1818181818181818,0.9411764705882352,0.88,0.17,100
credit_score>645,0.1818181818181818,0.7058823529411765,0.66,0.17,100
